Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
27/06/17,16:51:35,29.86,8.23,-61.7,206.2,31420,34320,32,15710,19.44,10.2,14.625,122.6,8.32,10.6,76.8,114.4,,,,,,,,,16.43741,81.7092
27/06/17,16:51:45,29.85,8.23,-61.8,205.7,31650,34570,32,15820,19.6,10.3,14.626,123.5,8.38,9.2,76.7,114.4,,,,,,,,,16.43737,81.7092
27/06/17,16:51:55,29.85,8.21,-61,204.7,31720,34650,32,15860,19.64,10.3,14.623,123.8,8.4,9.6,77.4,114.2,,,,,,,,,16.43733,81.7092
27/06/17,16:52:05,29.84,8.2,-60.2,204.1,32470,35460,31,16230,20.16,10.7,14.623,126.3,8.55,11.3,77,114.3,,,,,,,,,16.43729,81.70918
27/06/17,16:52:15,29.83,8.2,-60.4,203.1,32560,35550,31,16280,20.22,10.7,14.624,127,8.59,13.9,77,114.3,,,,,,,,,16.43725,81.70915
27/06/17,16:52:25,29.84,8.2,-60.3,202,31840,34770,31,15920,19.73,10.4,14.623,126.8,8.6,20.9,77.2,114.2,,,,,,,,,16.43723,81.70918
27/06/17,16:52:35,29.86,8.2,-60.4,201.1,31990,34940,31,15990,19.82,10.4,14.623,128,8.68,10.4,77.3,114.2,,,,,,,,,16.43724,81.70927
27/06/17,16:52:45,29.85,8.22,-61.2,200.4,31940,34880,31,15970,19.79,10.4,14.625,128.3,8.7,11.9,78.4,113.8,,,,,,,,,16.43733,81.70942
27/06/17,16:52:55,29.82,8.2,-60.3,199.9,32610,35600,31,16300,20.25,10.8,14.624,125.9,8.52,12.9,78,113.9,,,,,,,,,16.43746,81.70952
27/06/17,16:53:05,29.83,8.21,-60.9,198.9,32430,35410,31,16210,20.13,10.7,14.624,126.5,8.57,11.9,77.5,114.1,,,,,,,,,16.43758,81.70961
27/06/17,16:53:15,29.81,8.2,-60.1,198.4,32660,35640,31,16330,20.28,10.8,14.624,126.1,8.53,26.9,77.2,114.2,,,,,,,,,16.43772,81.70965
27/06/17,16:53:25,29.83,8.2,-59.9,197.8,31310,34180,32,15650,19.36,10.1,14.623,124.9,8.49,12.8,77.3,114.2,,,,,,,,,16.43786,81.70968
27/06/17,16:53:35,29.86,8.19,-59.6,197.2,31350,34250,32,15670,19.39,10.1,14.62,124.4,8.45,12.5,77.7,114,,,,,,,,,16.43802,81.70973
27/06/17,16:53:45,29.87,8.2,-59.9,196.3,31210,34100,32,15600,19.29,10,14.623,126.3,8.58,14.1,77.9,114,,,,,,,,,16.43819,81.70972
27/06/17,16:53:55,29.87,8.2,-60.2,195.6,31170,34060,32,15580,19.27,10,14.622,127.1,8.64,11.8,77.5,114.1,,,,,,,,,16.43834,81.70968
27/06/17,16:54:05,29.87,8.2,-59.9,195.1,31130,34020,32,15560,19.24,10,14.621,126.2,8.58,13.3,75.7,114.7,,,,,,,,,16.43849,81.70965
27/06/17,16:54:15,29.88,8.19,-59.8,194.4,31140,34030,32,15570,19.25,10,14.621,126.3,8.58,14.6,75.6,114.8,,,,,,,,,16.43864,81.70957
27/06/17,16:54:25,29.87,8.19,-59.3,194,30800,33660,32,15400,19.02,9.8,14.621,124.4,8.46,17.3,75.5,114.8,,,,,,,,,16.43878,81.7095
27/06/17,16:54:35,29.88,8.19,-59.3,193.2,31070,33950,32,15530,19.2,10,14.62,125.4,8.53,12.5,75.2,115,,,,,,,,,16.43894,81.70944
27/06/17,16:54:45,29.89,8.19,-59.6,192.4,30840,33700,32,15420,19.04,9.8,14.622,126.6,8.61,14.2,74.9,115.1,,,,,,,,,16.43908,81.70931
27/06/17,16:54:55,29.87,8.19,-59.7,191.7,31590,34510,32,15790,19.55,10.2,14.62,127.3,8.64,18.6,74.2,115.3,,,,,,,,,16.43923,81.70922
27/06/17,16:55:05,29.88,8.2,-60,190.8,30940,33800,32,15470,19.11,9.9,14.621,127.2,8.65,13.9,74.3,115.3,,,,,,,,,16.43937,81.70914
27/06/17,16:55:15,29.88,8.19,-59.6,190.4,31050,33930,32,15520,19.18,10,14.622,126.5,8.6,12.7,74.2,115.3,,,,,,,,,16.43953,81.70907
27/06/17,16:55:25,29.88,8.19,-59.3,189.8,30680,33530,33,15340,18.94,9.8,14.622,125.1,8.52,15.1,74.8,115.1,,,,,,,,,16.43969,81.70909
27/06/17,16:55:35,29.88,8.18,-59,189.2,30710,33560,33,15350,18.95,9.8,14.623,124.8,8.5,15.7,74.8,115.1,,,,,,,,,16.43978,81.7092
27/06/17,16:55:45,29.88,8.25,-63.3,188.4,30890,33760,32,15440,19.08,9.9,14.622,127.4,8.67,29,74.3,115.3,,,,,,,,,16.43982,81.70938
27/06/17,16:55:55,29.88,8.21,-61,187.9,31060,33940,32,15530,19.19,10,14.622,126.2,8.58,25.9,73.8,115.5,,,,,,,,,16.43983,81.70956
27/06/17,16:56:05,29.89,8.24,-62.4,187.2,31680,34620,32,15840,19.61,10.3,14.624,131.4,8.91,11.1,73.6,115.5,,,,,,,,,16.43984,81.70973
27/06/17,16:56:15,29.9,8.24,-62.7,186.5,31450,34370,32,15720,19.45,10.2,14.624,132.5,8.99,21.2,73.9,115.4,,,,,,,,,16.43986,81.70992
27/06/17,16:56:25,29.9,8.24,-62.7,186.2,31570,34510,32,15780,19.54,10.2,14.626,133.4,9.05,15.8,73.3,115.6,,,,,,,,,16.43986,81.71011
