Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
03/11/17,13:55:25,29.3,7.97,-58.4,76.4,17080,18480,59,8542,9.98,3.3,14.664,71.8,5.21,9.2,58.2,142,,,238.84,557.6,34.48,0.149199,91.871143,72.655745,16.43905,81.70966
03/11/17,13:55:35,29.31,7.96,-58.1,75.8,17420,18850,57,8715,10.2,3.5,14.663,72.3,5.24,8.5,58.2,142,,,166.12,471.6,27.88,-0.207936,94.500358,72.413312,16.43907,81.70972
03/11/17,13:55:45,29.31,7.97,-58.5,74.9,17530,18960,57,8765,10.27,3.5,14.664,74.1,5.37,6.9,58.4,141.9,,,230.8,648.8,30.08,0.109714,95.221128,72.494123,16.43918,81.70973
03/11/17,13:55:55,29.31,7.99,-59.3,73.8,17470,18900,57,8739,10.23,3.5,14.664,75.3,5.46,8.5,58.2,142,,,390.8,687.6,37.16,0.895492,96.646341,72.754187,16.43932,81.70968
03/11/17,13:56:05,29.29,7.97,-58.3,72.6,16980,18360,59,8491,9.92,3.3,14.663,74.2,5.39,7.8,58,142.1,,,307.52,608.8,42.8,0.486494,93.751837,72.961358,16.43945,81.70956
03/11/17,13:56:15,29.3,7.94,-56.9,71.8,16750,18120,60,8377,9.77,3.1,14.662,73.6,5.35,13,57.2,142.6,,,264.32,578.4,35.4,0.274335,92.635175,72.689539,16.43959,81.70942
03/11/17,13:56:25,29.32,7.95,-57.1,72.2,17730,19190,56,8869,10.4,3.6,14.66,75.2,5.44,4.3,56.7,142.9,,,280.96,530.8,34.76,0.356055,90.886718,72.66603,16.43971,81.70925
03/11/17,13:56:35,29.32,7.98,-58.9,72.4,18800,20340,53,9402,11.08,4.1,14.659,76,5.48,16.3,57.9,142.2,,,209.44,544,28.04,0.004813,91.371584,72.419189,16.43986,81.70914
03/11/17,13:56:45,29.32,8.01,-60.6,71,18300,19800,55,9153,10.76,3.9,14.66,76.6,5.53,12.5,59,141.5,,,249.52,613.6,42.96,0.20165,93.928152,72.967235,16.44,81.70922
03/11/17,13:56:55,29.32,8.02,-61.3,70.8,18760,20300,53,9383,11.06,4.1,14.659,77,5.55,42.6,58.6,141.7,,,213.72,521.6,31.12,0.025832,90.54878,72.532324,16.44006,81.7094
03/11/17,13:57:05,29.32,8.03,-61.6,68.7,17410,18830,57,8706,10.19,3.5,14.659,76.9,5.57,30.4,59.3,141.4,,,289.56,518.4,30.76,0.398291,90.431237,72.519101,16.44004,81.70961
