Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
14/03/18,7:32:53,29.09,8.14,-72.8,146.2,31280,33710,32,15640,19.36,10.3,14.657,57.1,3.99,4.7,,,,,,,,,,,16.43969,81.70888
14/03/18,7:33:03,29.09,8.14,-72.8,146.1,31270,33710,32,15630,19.36,10.3,14.658,56.9,3.98,4.7,,,,,,,,,,,16.4397,81.70884
14/03/18,7:33:13,29.09,8.15,-72.9,145.7,31290,33720,32,15640,19.37,10.3,14.659,56.7,3.97,4.7,,,,,,,,,,,16.4397,81.70884
14/03/18,7:33:23,29.09,8.15,-72.9,145.3,31310,33740,32,15650,19.38,10.4,14.66,56.5,3.95,4.4,,,,,,,,,,,16.43971,81.70884
14/03/18,7:33:33,29.09,8.15,-73,144.9,31300,33740,32,15650,19.38,10.4,14.661,56.7,3.96,4.5,,,,,,,,,,,16.43971,81.70884
14/03/18,7:33:43,29.08,8.15,-73.1,144.4,31270,33700,32,15640,19.36,10.3,14.66,57.1,3.99,4.3,,,,,,,,,,,16.43976,81.70892
14/03/18,7:33:53,29.07,8.15,-73.3,144,31440,33860,32,15720,19.47,10.4,14.66,58.8,4.11,4.6,,,,,,,,,,,16.43982,81.70911
14/03/18,7:34:03,29.12,8.16,-73.6,143.7,32000,34510,31,16000,19.85,10.7,14.66,59.9,4.19,4.6,,,,,,,,,,,16.43984,81.70936
14/03/18,7:34:13,29.12,8.17,-74.2,143.4,31620,34100,32,15810,19.59,10.5,14.663,60.6,4.23,4.6,,,,,,,,,,,16.43984,81.70956
14/03/18,7:34:23,29.06,8.18,-74.8,142.8,31490,33930,32,15750,19.51,10.5,14.659,60.9,4.25,4.1,,,,,,,,,,,16.43982,81.70977
14/03/18,7:34:33,29.07,8.18,-74.8,142.5,31520,33960,32,15760,19.53,10.5,14.66,60.8,4.25,4,,,,,,,,,,,16.43984,81.70994
14/03/18,7:34:43,29.08,8.18,-74.8,142.1,31530,33970,32,15760,19.53,10.5,14.659,60.7,4.24,4.1,,,,,,,,,,,16.43988,81.71003
14/03/18,7:34:53,29.08,8.18,-74.7,141.8,31390,33830,32,15690,19.44,10.4,14.661,60.4,4.22,4.1,,,,,,,,,,,16.43997,81.71011
14/03/18,7:35:03,29.07,8.18,-74.8,141.4,31480,33920,32,15740,19.5,10.5,14.66,60.4,4.23,4,,,,,,,,,,,16.44012,81.71011
14/03/18,7:35:13,29.12,8.18,-74.7,141.2,31640,34110,32,15820,19.6,10.5,14.66,60.8,4.25,4.4,,,,,,,,,,,16.4403,81.71005
14/03/18,7:35:23,29.11,8.18,-74.8,140.9,31630,34110,32,15810,19.6,10.5,14.658,61.1,4.27,4.7,,,,,,,,,,,16.44048,81.70996
14/03/18,7:35:33,29.07,8.18,-75,140.5,31400,33830,32,15700,19.44,10.4,14.66,61.4,4.29,4.7,,,,,,,,,,,16.44066,81.7099
14/03/18,7:35:43,29.09,8.18,-75.1,140.1,31410,33850,32,15700,19.45,10.4,14.661,61.2,4.28,4.7,,,,,,,,,,,16.44087,81.70997
