Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
10/05/18,6:30:23,31.48,7.92,-63.8,0.8,31450,35320,32,15720,19.42,9.6,14.73,104.9,6.41,,,,,,,,,,,7.5,16.43986,81.70892
10/05/18,6:30:33,31.48,7.92,-64.1,0.8,31450,35320,32,15720,19.42,9.6,14.73,103.2,6.29,,,,,,,,,,,7.1,16.43988,81.70894
10/05/18,6:30:43,31.48,7.93,-64.6,0.8,31450,35320,32,15720,19.41,9.6,14.727,106.3,6.5,,,,,,,,,,,7.2,16.43988,81.70894
10/05/18,6:30:53,31.47,7.94,-64.9,0.8,31440,35310,32,15720,19.41,9.6,14.726,106.9,6.54,,,,,,,,,,,7.4,16.43986,81.70894
10/05/18,6:31:03,31.46,7.94,-65.2,0.8,31440,35290,32,15720,19.41,9.6,14.728,110.9,6.81,,,,,,,,,,,7.6,16.43973,81.709
10/05/18,6:31:13,31.47,7.95,-65.5,0.8,31470,35340,32,15730,19.43,9.6,14.726,112.6,6.92,,,,,,,,,,,7.5,16.43963,81.70918
10/05/18,6:31:23,31.49,7.95,-65.5,0.8,31460,35350,32,15730,19.43,9.6,14.727,113.8,7,,,,,,,,,,,7.2,16.4396,81.70927
10/05/18,6:31:33,31.49,7.95,-65.7,0.8,31470,35360,32,15730,19.43,9.6,14.725,114.7,7.06,,,,,,,,,,,7,16.4396,81.70927
10/05/18,6:31:43,31.52,7.95,-65.9,0.8,31480,35380,32,15740,19.43,9.6,14.726,115,7.08,,,,,,,,,,,7,16.43946,81.70968
10/05/18,6:31:53,31.52,7.95,-65.9,0.8,31490,35390,32,15740,19.44,9.6,14.725,115.1,7.09,,,,,,,,,,,7,16.43946,81.70981
10/05/18,6:32:03,31.52,7.95,-65.9,0.8,31490,35390,32,15740,19.44,9.6,14.726,115.4,7.11,,,,,,,,,,,6.9,16.43946,81.70981
10/05/18,6:32:13,31.53,7.95,-65.9,0.8,31500,35410,32,15750,19.45,9.6,14.728,115,7.08,,,,,,,,,,,6.8,16.43952,81.70997
10/05/18,6:32:23,31.52,7.96,-66,0.8,31490,35390,32,15740,19.44,9.6,14.728,114.9,7.07,,,,,,,,,,,6.6,16.43954,81.71
10/05/18,6:32:33,31.52,7.96,-66,0.8,31490,35390,32,15740,19.44,9.6,14.729,114.7,7.06,,,,,,,,,,,7,16.43959,81.71005
10/05/18,6:32:43,31.53,7.95,-65.9,0.8,31490,35400,32,15740,19.44,9.6,14.729,114.1,7.02,,,,,,,,,,,7.4,16.43962,81.71008
10/05/18,6:32:53,31.52,7.96,-66.1,0.8,31480,35380,32,15740,19.44,9.6,14.731,116.3,7.17,,,,,,,,,,,6.8,16.43964,81.71009
10/05/18,6:33:03,31.52,7.96,-66.1,0.8,31480,35380,32,15740,19.44,9.6,14.729,117.1,7.22,,,,,,,,,,,6.8,16.43976,81.71018
10/05/18,6:33:13,31.52,7.96,-66.1,0.8,31460,35360,32,15730,19.43,9.6,14.729,117.1,7.23,,,,,,,,,,,6.8,16.43976,81.71018
10/05/18,6:33:23,31.52,7.95,-65.9,0.8,31560,35470,32,15780,19.49,9.6,14.727,115.6,7.12,,,,,,,,,,,7,16.43976,81.71018
10/05/18,6:33:33,31.49,7.95,-65.7,0.8,31550,35440,32,15770,19.48,9.6,14.725,116.5,7.18,,,,,,,,,,,7,16.44016,81.71
10/05/18,6:33:43,31.56,7.94,-65.1,0.8,31680,35630,32,15840,19.57,9.7,14.724,114,7,,,,,,,,,,,7,16.44016,81.71
10/05/18,6:33:53,31.56,7.94,-64.9,0.8,31670,35610,32,15830,19.56,9.7,14.725,113.1,6.94,,,,,,,,,,,7.3,16.44034,81.70968
10/05/18,6:34:03,31.53,7.93,-64.8,0.8,31690,35620,32,15840,19.58,9.7,14.723,112.5,6.9,,,,,,,,,,,7.5,16.44047,81.70961
10/05/18,6:34:13,31.57,7.93,-64.7,0.8,31720,35680,32,15860,19.59,9.7,14.728,112.5,6.9,,,,,,,,,,,7,16.44062,81.70972
10/05/18,6:34:23,31.57,7.94,-65,0.8,31620,35570,32,15810,19.53,9.7,14.728,113.8,6.99,,,,,,,,,,,7,16.44067,81.70991
10/05/18,6:34:33,31.51,7.94,-65.2,0.8,31520,35420,32,15760,19.46,9.6,14.728,115.1,7.09,,,,,,,,,,,6.8,16.44068,81.71013
10/05/18,6:34:43,31.52,7.95,-65.7,0.8,31530,35430,32,15760,19.47,9.6,14.726,116.5,7.18,,,,,,,,,,,6.9,16.44069,81.71022
10/05/18,6:34:53,31.56,7.96,-66,0.8,31540,35480,32,15770,19.48,9.6,14.727,117.1,7.21,,,,,,,,,,,6.7,16.44071,81.71044
10/05/18,6:35:03,31.57,7.96,-66.1,0.8,31530,35470,32,15760,19.47,9.6,14.728,117.3,7.23,,,,,,,,,,,6.7,16.44069,81.7107
10/05/18,6:35:13,31.57,7.96,-66.2,0.8,31540,35480,32,15770,19.48,9.6,14.728,117.2,7.22,,,,,,,,,,,6.7,16.44068,81.7108
10/05/18,6:35:23,31.59,7.95,-65.5,0.8,31680,35650,32,15840,19.57,9.7,14.728,114.5,7.03,,,,,,,,,,,7,16.44065,81.71105
10/05/18,6:35:33,31.63,7.94,-65.4,0.8,31690,35690,32,15850,19.58,9.7,14.73,114,6.99,,,,,,,,,,,7,16.44065,81.71109
10/05/18,6:35:43,31.62,7.94,-65.3,0.8,31690,35670,32,15840,19.58,9.7,14.73,113.3,6.95,,,,,,,,,,,7.3,16.44076,81.71138
10/05/18,6:35:53,31.6,7.94,-65.3,0.8,31620,35590,32,15810,19.53,9.6,14.729,113.9,6.99,,,,,,,,,,,7.3,16.44087,81.71138
10/05/18,6:36:03,31.57,7.95,-65.7,0.8,31610,35550,32,15800,19.52,9.7,14.73,115.3,7.09,,,,,,,,,,,7.3,16.441,81.71131
10/05/18,6:36:13,31.58,7.95,-65.7,0.8,31590,35540,32,15790,19.51,9.6,14.729,115.2,7.08,,,,,,,,,,,7,16.4411,81.71118
10/05/18,6:36:23,31.57,7.95,-65.8,0.8,31550,35490,32,15770,19.48,9.6,14.731,115,7.07,,,,,,,,,,,6.9,16.44119,81.71107
10/05/18,6:36:33,31.56,7.95,-66,0.8,31540,35470,32,15770,19.47,9.6,14.731,115.8,7.13,,,,,,,,,,,7,16.44126,81.71096
10/05/18,6:36:43,31.56,7.96,-66,0.8,31520,35450,32,15760,19.46,9.6,14.73,115.5,7.11,,,,,,,,,,,6.8,16.44139,81.71076
10/05/18,6:36:53,31.53,7.95,-66,0.8,31500,35410,32,15750,19.45,9.6,14.731,115.7,7.12,,,,,,,,,,,6.7,16.44148,81.71066
10/05/18,6:37:03,31.51,7.94,-65.4,0.8,31630,35540,32,15810,19.54,9.7,14.731,112.1,6.88,,,,,,,,,,,6.5,16.44161,81.71046
10/05/18,6:37:13,31.54,7.95,-65.7,0.8,31560,35480,32,15780,19.49,9.6,14.727,114.9,7.07,,,,,,,,,,,6.9,16.44173,81.71034
10/05/18,6:37:23,31.54,7.95,-65.7,0.8,31560,35480,32,15780,19.49,9.6,14.729,114.7,7.06,,,,,,,,,,,6.8,16.44177,81.71028
10/05/18,6:37:33,31.54,7.95,-65.7,0.8,31580,35510,32,15790,19.5,9.6,14.727,114.1,7.01,,,,,,,,,,,6.6,16.44203,81.71035
10/05/18,6:37:43,31.62,7.91,-63.8,0.8,31840,35840,31,15920,19.68,9.8,14.728,106.6,6.49,,,,,,,,,,,6.6,16.44206,81.71052
10/05/18,6:37:53,31.6,7.9,-62.9,0.8,31770,35760,31,15880,19.63,9.7,14.729,104.9,6.38,,,,,,,,,,,6.4,16.44202,81.71066
10/05/18,6:38:03,31.62,7.89,-62.4,0.8,31780,35780,31,15890,19.64,9.7,14.727,103.3,6.27,,,,,,,,,,,7,16.44197,81.71086
10/05/18,6:38:13,31.63,7.89,-62.2,0.8,31820,35830,31,15910,19.67,9.7,14.727,102.7,6.23,,,,,,,,,,,7.5,16.44192,81.71102
10/05/18,6:38:23,31.58,7.89,-62.4,0.8,31760,35730,31,15880,19.63,9.7,14.727,103.1,6.26,,,,,,,,,,,7.2,16.44187,81.7112
10/05/18,6:38:33,31.57,7.89,-62.4,0.8,31790,35750,31,15890,19.64,9.7,14.726,101.9,6.18,,,,,,,,,,,7.2,16.44182,81.71138
10/05/18,6:38:43,31.66,7.89,-62.6,0.8,31870,35900,31,15930,19.69,9.8,14.726,103,6.24,,,,,,,,,,,7.2,16.44176,81.71156
10/05/18,6:38:53,31.66,7.9,-62.9,0.8,31770,35790,31,15880,19.63,9.7,14.726,103.3,6.27,,,,,,,,,,,7.2,16.44172,81.71176
10/05/18,6:39:03,31.63,7.9,-63.1,0.8,31780,35790,31,15890,19.64,9.7,14.726,103.2,6.26,,,,,,,,,,,7.2,16.4417,81.71196
10/05/18,6:39:13,31.62,7.91,-63.6,0.8,31720,35710,32,15860,19.6,9.7,14.726,105,6.39,,,,,,,,,,,7.2,16.44172,81.71214
10/05/18,6:39:23,31.64,7.92,-64.3,0.8,31700,35700,32,15850,19.58,9.7,14.727,107.4,6.54,,,,,,,,,,,7.2,16.4418,81.71229
10/05/18,6:39:33,31.62,7.93,-64.7,0.8,31730,35720,32,15860,19.6,9.7,14.728,108.5,6.62,,,,,,,,,,,7.5,16.44192,81.7124
10/05/18,6:39:43,31.58,7.92,-63.8,0.8,31710,35670,32,15850,19.59,9.7,14.729,102.5,6.23,,,,,,,,,,,7.6,16.44207,81.71242
10/05/18,6:39:53,31.61,7.9,-63,0.8,31760,35750,31,15880,19.63,9.7,14.728,102.4,6.21,,,,,,,,,,,7.8,16.44224,81.71233
10/05/18,6:40:03,31.63,7.9,-62.8,0.8,31810,35820,31,15900,19.66,9.7,14.727,101.7,6.16,,,,,,,,,,,8,16.44237,81.7122
