Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
31/05/17,12:04:24,32.78,9.35,-141.3,211.8,135,155,7410,68,6.16E-02,0,14.536,122.7,8.74,16.7,,,,,,,,,,,17.00178,81.7668
31/05/17,12:04:34,32.79,9.34,-140.6,211.9,135,155,7410,68,6.16E-02,0,14.534,122.6,8.73,13.5,,,,,,,,,,,17.00192,81.76675
31/05/17,12:04:44,32.8,9.33,-139.9,211.7,135,155,7410,67,6.14E-02,0,14.533,122.7,8.74,21.1,,,,,,,,,,,17.00217,81.76667
31/05/17,12:04:54,32.93,9.27,-136.2,213.7,135,156,7410,68,6.17E-02,0,14.535,122.1,8.68,18.1,,,,,,,,,,,17.00239,81.76661
31/05/17,12:05:04,33.01,9.23,-133.9,213.7,136,156,7350,68,6.18E-02,0,14.537,121,8.59,10.2,,,,,,,,,,,17.00268,81.76655
31/05/17,12:05:14,33.03,9.19,-131.8,214.3,135,156,7410,67,6.15E-02,0,14.538,120.7,8.56,17,,,,,,,,,,,17.00289,81.76648
31/05/17,12:05:24,32.93,9.21,-133.1,213.7,135,155,7410,67,6.15E-02,0,14.539,121.6,8.64,11.9,,,,,,,,,,,17.00317,81.76638
31/05/17,12:05:34,33.12,9.13,-128.1,214.9,136,157,7350,68,6.21E-02,0,14.54,120.2,8.52,14.3,,,,,,,,,,,17.00343,81.76636
31/05/17,12:05:44,33.13,9.13,-128.3,214.9,136,157,7350,68,6.20E-02,0,14.539,119.9,8.5,18.6,,,,,,,,,,,17.00359,81.76632
31/05/17,12:05:54,33.06,9.13,-127.9,214.7,135,156,7410,67,6.15E-02,0,14.541,119.9,8.51,9.7,,,,,,,,,,,17.00394,81.76629
