Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
31/05/17,16:58:02,33.93,9.18,-124,192.8,133,155,7520,66,6.04E-02,0,14.5,129.4,9.02,2,,,,,,,,,,,16.99738,81.76862
31/05/17,16:58:12,33.98,9.19,-124.2,192.6,133,156,7520,67,6.05E-02,0,14.5,129.7,9.03,1.7,,,,,,,,,,,16.99744,81.76858
31/05/17,16:58:22,33.96,9.19,-124.2,192.3,133,155,7520,66,6.04E-02,0,14.5,129.2,9,1.6,,,,,,,,,,,16.99746,81.76858
31/05/17,16:58:32,34.05,9.14,-121.3,194.7,132,155,7580,66,6.02E-02,0,14.502,131.1,9.12,1.8,,,,,,,,,,,16.99759,81.76853
31/05/17,16:58:42,34.34,9.08,-118,195.5,133,156,7520,66,6.04E-02,0,14.502,134.5,9.31,2.2,,,,,,,,,,,16.99781,81.76845
31/05/17,16:58:52,34.35,9.1,-118.9,194.3,132,156,7580,66,6.02E-02,0,14.502,136.7,9.46,2.1,,,,,,,,,,,16.99798,81.76837
31/05/17,16:59:02,34.29,9.07,-117.5,195.8,133,156,7520,66,6.03E-02,0,14.502,136.7,9.47,2,,,,,,,,,,,16.99798,81.76837
31/05/17,16:59:12,34.28,9.06,-116.8,196.3,133,157,7520,67,6.06E-02,0,14.501,136.3,9.45,2.1,,,,,,,,,,,16.99863,81.76808
31/05/17,16:59:22,34.07,9.03,-114.8,197.1,132,155,7580,66,6.02E-02,0,14.5,134.4,9.35,1.6,,,,,,,,,,,16.99888,81.76796
31/05/17,16:59:32,34.01,9.04,-115,197.5,133,155,7520,66,6.03E-02,0,14.5,133.6,9.3,1.7,,,,,,,,,,,16.99904,81.76788
31/05/17,16:59:42,33.94,9.06,-116.5,197.9,132,155,7580,66,0.06,0,14.503,133.5,9.31,1.5,,,,,,,,,,,16.99904,81.76788
31/05/17,16:59:52,33.92,9.05,-116.1,197.2,132,155,7580,66,6.02E-02,0,14.499,134.3,9.37,1.6,,,,,,,,,,,16.99971,81.76756
