Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
31/05/17,6:07:15,32.13,8.48,-88.3,235.5,130,148,7690,65,5.94E-02,0,14.511,101.8,7.32,2.8,,,,,,,,,,,16.99722,81.76888
31/05/17,6:07:25,32.13,8.48,-88.3,236,131,149,7630,65,5.97E-02,0,14.51,100.7,7.24,2.5,,,,,,,,,,,16.99722,81.76888
31/05/17,6:07:35,32.13,8.52,-90.3,236.7,130,148,7690,65,0.06,0,14.51,101,7.26,3.1,,,,,,,,,,,16.99722,81.7689
31/05/17,6:07:45,32.12,8.53,-91,237.2,132,150,7580,66,6.01E-02,0,14.511,102.1,7.34,3.3,,,,,,,,,,,16.99723,81.76888
31/05/17,6:07:55,32.13,8.54,-91.6,237.9,130,148,7690,65,5.93E-02,0,14.51,103.6,7.45,3,,,,,,,,,,,16.99721,81.76886
31/05/17,6:08:05,32.14,8.56,-92.8,237.3,130,147,7690,65,5.92E-02,0,14.51,103.2,7.42,2.8,,,,,,,,,,,16.99721,81.76886
31/05/17,6:08:15,32.13,8.57,-93.6,236.4,130,147,7690,65,5.92E-02,0,14.513,101.8,7.32,2.6,,,,,,,,,,,16.99722,81.76886
31/05/17,6:08:25,32.14,8.6,-95.6,234.7,130,148,7690,65,5.93E-02,0,14.512,100.5,7.23,2.7,,,,,,,,,,,16.99722,81.76885
31/05/17,6:08:35,32.14,8.58,-94,236.2,130,147,7690,65,5.91E-02,0,14.51,102.1,7.34,2.5,8.2,176.4,,,,,,,,,16.99723,81.76885
31/05/17,6:08:45,32.15,8.62,-96.5,234,130,147,7690,65,5.92E-02,0,14.515,101.9,7.33,3.3,9.9,171.2,,,,,,,,,16.99723,81.76884
31/05/17,6:08:55,32.15,8.6,-95.1,235.4,130,147,7690,65,5.92E-02,0,14.513,102.2,7.34,2.7,12,165.8,,,,,,,,,16.99724,81.76883
31/05/17,6:09:05,32.14,8.59,-95,235.8,130,147,7690,65,5.92E-02,0,14.514,103.5,7.44,2.6,13,163.7,,,,,,,,,16.99723,81.76883
31/05/17,6:09:15,32.15,8.59,-94.6,236.1,130,147,7690,65,5.92E-02,0,14.514,103.8,7.46,2.7,14.6,160.6,,,,,,,,,16.99724,81.76881
31/05/17,6:09:25,32.14,8.6,-95.6,236.2,130,148,7690,65,5.93E-02,0,14.515,103.4,7.43,2.6,15.6,158.7,,,,,,,,,16.99724,81.76881
31/05/17,6:09:35,32.14,8.61,-96,234.9,130,147,7690,65,5.92E-02,0,14.514,103.5,7.44,2.9,14.6,160.6,,,,,,,,,16.99724,81.76881
31/05/17,6:09:45,32.14,8.59,-94.8,235.9,129,147,7750,65,5.90E-02,0,14.511,104.7,7.53,2.8,15.8,158.4,,,,,,,,,16.99727,81.76881
31/05/17,6:09:55,32.14,8.58,-94.1,236.9,130,147,7690,65,5.92E-02,0,14.51,104.6,7.52,2.8,15.1,159.6,,,,,,,,,16.99726,81.76881
31/05/17,6:10:05,32.14,8.58,-94,237.4,130,148,7690,65,5.95E-02,0,14.512,104.6,7.52,2.7,14.9,160,,,,,,,,,16.9973,81.7688
31/05/17,6:10:15,32.14,8.59,-94.5,237.1,130,148,7690,65,5.94E-02,0,14.511,104.5,7.51,2.6,14.6,160.6,,,,,,,,,16.99734,81.76877
31/05/17,6:10:25,32.14,8.6,-95.4,236.3,130,148,7690,65,5.94E-02,0,14.511,104.4,7.51,2.4,15.4,159.1,,,,,,,,,16.99738,81.76875
31/05/17,6:10:35,32.14,8.62,-96.4,235.5,130,148,7690,65,5.95E-02,0,14.513,103.7,7.46,2.6,14.8,160.2,,,,,,,,,16.9974,81.76872
