Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
21/09/17,8:57:34,29.87,7.68,-45.9,13.6,200,218,5000,100,9.28E-02,0,14.575,84.8,6.36,15.1,1.2,245.6,0.13,-79.9,,,,,,,16.99156,81.77202
21/09/17,8:57:44,29.88,7.69,-46.4,13,199,218,5025,100,9.25E-02,0,14.575,85.7,6.43,15,1.2,245.7,0.13,-79.7,,,,,,,16.99159,81.7719
21/09/17,8:57:54,29.89,7.7,-47,12.3,200,219,5000,100,9.31E-02,0,14.576,85.9,6.45,15,1.2,245.8,0.13,-79.8,,,,,,,16.99165,81.77173
21/09/17,8:58:04,29.92,7.7,-46.6,11.7,203,222,4926,101,9.41E-02,0,14.576,85.5,6.41,15.4,1.2,245.7,0.13,-79.9,,,,,,,16.99176,81.77163
21/09/17,8:58:14,29.91,7.7,-46.7,11.1,202,221,4950,101,0.09,0,14.576,85.5,6.41,15.4,1.2,245.5,0.13,-80.1,,,,,,,16.99188,81.77155
21/09/17,8:58:24,29.89,7.7,-46.9,10.7,201,220,4975,101,9.35E-02,0,14.577,85.5,6.41,15.2,1.2,245.5,0.13,-80,,,,,,,16.99204,81.77144
21/09/17,8:58:34,29.88,7.71,-47.6,10.1,199,217,5025,99,9.22E-02,0,14.579,86.5,6.49,15,1.2,245.5,0.13,-80.1,,,,,,,16.99219,81.77138
21/09/17,8:59:13,29.86,7.75,-49.9,7.6,197,215,5076,98,9.13E-02,0,14.577,84.9,6.37,14.8,1.2,245.5,0.13,-80,,,,,,,16.99248,81.77125
21/09/17,8:59:14,29.87,7.75,-49.9,7.5,197,215,5076,98,9.13E-02,0,14.578,85,6.39,14.8,1.2,245.5,0.13,-79.9,,,,,,,16.99251,81.77125
21/09/17,8:59:15,29.87,7.75,-49.8,7.7,197,215,5076,98,9.13E-02,0,14.577,85.2,6.4,14.9,1.2,245.5,0.13,-79.8,,,,,,,16.99251,81.77125
21/09/17,8:59:16,29.88,7.75,-49.9,7.9,197,215,5076,98,9.13E-02,0,14.578,85.4,6.42,14.9,1.2,245.5,0.13,-79.8,,,,,,,16.99251,81.77125
21/09/17,8:59:17,29.88,7.75,-49.9,7.8,197,215,5076,98,9.12E-02,0,14.578,85.6,6.43,14.8,1.2,245.5,0.13,-80,,,,,,,16.99251,81.77125
21/09/17,8:59:18,29.87,7.76,-50,7.6,197,215,5076,98,9.12E-02,0,14.578,85.7,6.43,14.8,1.2,245.4,0.13,-80.2,,,,,,,16.99251,81.77125
21/09/17,8:59:19,29.87,7.76,-50.1,7.4,197,215,5076,98,9.13E-02,0,14.578,85.7,6.43,15,1.2,245.2,0.13,-80.3,,,,,,,16.99251,81.77125
21/09/17,8:59:20,29.87,7.76,-50.4,7.2,197,215,5076,98,9.14E-02,0,14.579,85.6,6.43,14.9,1.2,245.2,0.13,-80.2,,,,,,,16.99251,81.77125
21/09/17,8:59:21,29.87,7.76,-50.5,7.2,197,215,5076,99,9.15E-02,0,14.579,85.6,6.43,14.9,1.2,245.2,0.13,-79.9,,,,,,,16.99251,81.77125
21/09/17,8:59:22,29.87,7.76,-50.3,7.5,197,216,5076,99,9.16E-02,0,14.578,85.6,6.43,14.9,1.2,245.2,0.13,-80,,,,,,,16.99251,81.77125
21/09/17,8:59:23,29.87,7.76,-50,7.7,197,216,5076,99,9.16E-02,0,14.579,85.6,6.43,14.9,1.2,245.1,0.13,-79.9,,,,,,,16.99251,81.77125
21/09/17,8:59:24,29.87,7.75,-49.9,7.9,197,216,5076,99,9.16E-02,0,14.578,85.7,6.44,14.9,1.2,245.1,0.13,-79.8,,,,,,,16.99251,81.77125
21/09/17,8:59:25,29.87,7.75,-49.8,8.1,197,216,5076,99,9.15E-02,0,14.578,85.9,6.45,14.9,1.2,245.1,0.13,-79.7,,,,,,,16.99251,81.77125
21/09/17,8:59:26,29.87,7.75,-49.9,8,197,216,5076,99,9.15E-02,0,14.578,86,6.46,15,1.2,245.2,0.13,-79.8,,,,,,,16.99251,81.77125
21/09/17,8:59:27,29.88,7.75,-49.7,8,197,215,5076,99,9.15E-02,0,14.58,86.2,6.47,14.9,1.2,245.3,0.13,-80,,,,,,,16.99251,81.77125
21/09/17,8:59:28,29.88,7.75,-49.7,8,197,215,5076,99,9.14E-02,0,14.579,86.3,6.48,14.9,1.2,245.2,0.13,-80.2,,,,,,,16.99251,81.77125
21/09/17,8:59:29,29.88,7.75,-49.6,8,197,216,5076,99,9.16E-02,0,14.577,86.4,6.49,14.8,1.2,245.3,0.13,-80.2,,,,,,,16.99251,81.77125
21/09/17,8:59:30,29.88,7.75,-49.8,7.9,198,216,5051,99,9.17E-02,0,14.578,86.5,6.5,14.9,1.2,245.4,0.13,-80.1,,,,,,,16.99251,81.77125
