Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
03/06/18,18:23:24,32.12,8.52,-95.9,21.9,519,590,1927,260,0.25,0,14.385,123.9,8.88,20.4,,,,,,,,,,,25.30572,83.0107
03/06/18,18:23:34,32.11,8.53,-96.7,22.2,519,589,1927,260,0.25,0,14.38,123.5,8.85,18.9,,,,,,,,,,,25.3057,83.01066
03/06/18,18:23:44,32.12,8.54,-96.9,22.7,519,589,1927,259,0.25,0,14.381,124.2,8.9,19.5,,,,,,,,,,,25.30569,83.01064
03/06/18,18:23:54,32.13,8.54,-96.9,23.3,520,590,1923,260,0.25,0,14.384,123.2,8.82,20.1,,,,,,,,,,,25.30567,83.01062
03/06/18,18:24:04,32.13,8.54,-97.1,23.7,520,590,1923,260,0.25,0,14.385,122.8,8.8,19.5,,,,,,,,,,,25.30567,83.01061
03/06/18,18:24:14,32.12,8.55,-97.7,23.6,520,591,1923,260,0.25,0,14.382,122.9,8.8,19.4,,,,,,,,,,,25.30567,83.01061
03/06/18,18:24:24,32.13,8.57,-98.5,0.8,520,591,1923,260,0.25,0,14.382,122.6,8.78,19.3,,,,,,,,,,,25.30567,83.01061
03/06/18,18:24:34,32.13,8.57,-98.6,0.8,520,590,1923,260,0.25,0,14.382,122.6,8.79,18.4,,,,,,,,,,,25.30567,83.01061
03/06/18,18:24:44,32.13,8.56,-98.3,0.8,520,591,1923,260,0.25,0,14.384,122,8.74,18.9,,,,,,,,,,,25.30567,83.01061
03/06/18,18:24:54,32.13,8.57,-98.8,0.8,521,591,1919,260,0.25,0,14.382,121.5,8.7,19.4,,,,,,,,,,,25.30562,83.01055
03/06/18,18:25:04,32.13,8.57,-98.8,0.8,520,591,1923,260,0.25,0,14.382,120.5,8.63,20.3,,,,,,,,,,,25.30561,83.01053
