Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
17/03/19,16:34:29,24.48,6.89,-37.5,-47.5,579,574,1727,290,0.28,0.0,14.554,33.4,2.76,52.5,,, ,,3979.2,1796.8,171.2,,,,25.28966,83.00693
17/03/19,16:34:39,24.49,6.89,-37.3,-50.1,578,573,1730,289,0.28,0.0,14.556,36.4,3.00,62.9,,, ,,3719.2,1786.4,171.72,,,,25.28966,83.00693
17/03/19,16:34:49,24.50,6.89,-37.2,-51.8,577,571,1733,288,0.28,0.0,14.553,38.1,3.14,35.1,,, ,,3834,1792.8,170.24,,,,25.28966,83.00696
17/03/19,16:34:59,24.53,6.89,-37.3,-52.0,571,566,1751,285,0.28,0.0,14.553,39.3,3.23,4.8,,, ,,4002,1792.4,169.76,,,,25.28966,83.00696
17/03/19,16:35:09,24.53,6.90,-37.6,-51.9,574,569,1742,287,0.28,0.0,14.554,39.6,3.27,186,,, ,,3679.2,1789.2,164.84,,,,25.28963,83.00699
17/03/19,16:35:19,24.51,6.90,-37.8,-51.4,581,575,1721,290,0.28,0.0,14.555,42.4,3.49,250,,, ,,3822.4,1779.2,171.44,,,,25.28963,83.00699
17/03/19,16:35:29,24.50,6.92,-38.7,-51.6,579,574,1727,290,0.28,0.0,14.556,50.9,4.20,325,,, ,,3804.4,1784.4,169.56,,,,25.28963,83.00699
17/03/19,16:35:39,24.50,6.92,-38.7,-50.8,576,571,1736,288,0.28,0.0,14.556,56.4,4.65,182,,, ,,3485.6,1786.4,163,,,,25.28963,83.00699
17/03/19,16:35:49,24.49,6.93,-39.2,-50.0,574,569,1742,287,0.28,0.0,14.555,60.5,4.99,52.2,,, ,,4092.4,1784.4,171.36,,,,25.28966,83.00712
17/03/19,16:35:59,24.47,6.95,-40.0,-49.4,571,565,1751,285,0.28,0.0,14.555,63.3,5.23,31.7,,, ,,3523.2,1774.4,165.8,,,,25.28969,83.00716
17/03/19,16:36:09,24.45,6.97,-41.0,-48.9,558,552,1792,279,0.27,0.0,14.553,68.0,5.61,134,,, ,,3102.4,1778.4,168.56,,,,25.28969,83.00722
17/03/19,16:36:19,24.41,7.00,-42.6,-49.0,539,533,1855,270,0.26,0.0,14.552,72.3,5.97,16.6,,, ,,3708.8,1781.2,164.48,,,,25.28967,83.00736
17/03/19,16:36:29,24.29,7.06,-45.2,-49.5,518,511,1931,259,0.25,0.0,14.555,84.9,7.03,11.1,,, ,,3551.6,1759.2,168.88,,,,25.2896,83.00747
17/03/19,16:36:39,24.24,7.10,-47.2,-49.3,513,506,1949,257,0.25,0.0,14.555,89.0,7.37,9.1,,, ,,3900.8,1776.8,161.2,,,,25.28946,83.00755
17/03/19,16:36:49,24.21,7.14,-49.0,-48.6,513,506,1949,257,0.25,0.0,14.555,91.4,7.57,9.1,,, ,,3185.2,1770,168.96,,,,25.28934,83.00762
17/03/19,16:36:59,24.22,7.17,-50.7,-47.7,513,505,1949,257,0.25,0.0,14.555,92.9,7.70,9.0,,, ,,3446.4,1764,171.92,,,,25.28923,83.00767
17/03/19,16:37:09,24.21,7.20,-52.1,-46.9,513,506,1949,257,0.25,0.0,14.554,94.0,7.79,9.0,,, ,,4320.8,1768,167.12,,,,25.28909,83.00771
17/03/19,16:37:19,24.21,7.22,-53.3,-46.1,513,505,1949,257,0.25,0.0,14.553,94.8,7.86,9.1,,, ,,4169.2,1774.8,162.96,,,,25.28896,83.00774
17/03/19,16:37:29,24.21,7.25,-54.4,-45.3,513,506,1949,257,0.25,0.0,14.552,95.4,7.91,9.3,,, ,,4818.8,1771.6,170.12,,,,25.28883,83.00776
17/03/19,16:37:39,24.22,7.27,-55.5,-44.5,513,506,1949,257,0.25,0.0,14.553,95.7,7.93,9.6,,, ,,3929.2,1777.2,171.24,,,,25.28869,83.00776
17/03/19,16:37:49,24.23,7.29,-56.6,-43.8,514,506,1946,257,0.25,0.0,14.552,95.8,7.94,9.4,,, ,,4286,1768.8,172.08,,,,25.28857,83.00778
17/03/19,16:37:59,24.28,7.31,-57.2,-43.0,520,513,1923,260,0.25,0.0,14.551,95.2,7.88,13.2,,, ,,4480,1772.4,165.76,,,,25.28844,83.00778
17/03/19,16:38:09,24.29,7.32,-58.0,-42.5,523,516,1912,262,0.25,0.0,14.553,94.6,7.83,13.4,,, ,,4000.4,1760.8,168.52,,,,25.28831,83.0078
