Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
17/03/19,8:36:51,24.08,7.4,-61.4,-25.7,542,532,1845,271,0.26,0,14.62,66.9,5.58,13.2,,, ,,2254.8,876.4,97.12,,,,25.2897,83.00699
17/03/19,8:37:01,24.08,7.4,-61.5,-25.8,542,532,1845,271,0.26,0,14.62,66.9,5.59,13.3,,, ,,2207.6,876.8,95.68,,,,25.2897,83.00699
17/03/19,8:37:11,24.08,7.41,-62,-26.3,542,532,1845,271,0.26,0,14.619,67,5.59,13.1,,, ,,2670.8,889.2,100.52,,,,25.28969,83.00699
17/03/19,8:37:21,24.08,7.41,-62.2,-26.5,542,532,1845,271,0.26,0,14.617,66.8,5.57,12.8,,, ,,2591.6,873.2,101.12,,,,25.28969,83.007
17/03/19,8:37:31,24.09,7.43,-62.8,-27.1,542,532,1845,271,0.26,0,14.618,67,5.59,14.3,,, ,,2188.4,880,97.44,,,,25.28969,83.007
17/03/19,8:37:41,24.09,7.44,-63.4,-27.7,542,532,1845,271,0.26,0,14.62,66.5,5.55,13.5,,, ,,2369.6,878.4,100.84,,,,25.28969,83.007
17/03/19,8:37:51,24.09,7.43,-63.2,-27.5,541,532,1848,271,0.26,0,14.616,67.6,5.64,13.6,,, ,,2225.6,869.6,94.08,,,,25.28969,83.007
17/03/19,8:38:01,24.08,7.42,-62.5,-26.7,542,533,1845,271,0.26,0,14.617,69.1,5.76,13.9,,, ,,2308,878,102.12,,,,25.28968,83.00705
17/03/19,8:38:11,24.07,7.43,-63.2,-27.2,544,534,1838,272,0.26,0,14.618,67.5,5.63,15.3,,, ,,2140.4,888.8,92.2,,,,25.28968,83.00705
17/03/19,8:38:21,24.08,7.42,-62.4,-26.5,542,532,1845,271,0.26,0,14.616,69.2,5.78,13.5,,, ,,2300,876.8,98.68,,,,25.28968,83.00702
17/03/19,8:38:31,24.09,7.44,-63.5,-27.6,541,532,1848,271,0.26,0,14.619,69.4,5.79,11.9,,, ,,2407.6,874,102.24,,,,25.28966,83.00702
17/03/19,8:38:41,24.1,7.45,-64.1,-28.1,542,533,1845,271,0.26,0,14.618,69.9,5.83,12.6,,, ,,2542,878,98.24,,,,25.28965,83.00702
17/03/19,8:38:51,24.08,7.45,-63.9,-27.8,542,532,1845,271,0.26,0,14.618,69.9,5.83,14.7,,, ,,2423.6,871.6,92.88,,,,25.28964,83.00702
17/03/19,8:39:01,24.06,7.46,-64.5,-28.4,541,531,1848,270,0.26,0,14.616,69.6,5.81,16.2,,, ,,2168.8,880.8,94.72,,,,25.28964,83.00702
17/03/19,8:39:11,24.07,7.47,-65,-28.8,540,531,1852,270,0.26,0,14.616,69.4,5.79,13.6,,, ,,2429.6,870.4,97.4,,,,25.28964,83.00702
17/03/19,8:39:21,24.07,7.48,-65.2,-29,541,531,1848,270,0.26,0,14.615,70.2,5.86,15.6,,, ,,2411.6,862,96.36,,,,25.28963,83.00705
17/03/19,8:39:31,24.08,7.46,-64.6,-28.3,543,534,1842,272,0.26,0,14.614,70.6,5.89,15,,, ,,2849.6,867.6,92.08,,,,25.28963,83.00706
17/03/19,8:39:41,24.13,7.44,-63.6,-27.2,556,547,1799,278,0.27,0,14.616,68,5.67,23.7,,, ,,2147.6,869.6,98.16,,,,25.28962,83.00712
17/03/19,8:39:51,24.25,7.45,-63.8,-28.3,546,538,1832,273,0.26,0,14.618,70.7,5.88,17.2,,, ,,2253.6,872,102.68,,,,25.28964,83.00726
17/03/19,8:40:01,24.34,7.49,-65.7,-30.9,525,518,1905,262,0.25,0,14.617,82,6.81,8.6,,, ,,2122.4,878,101.4,,,,25.28968,83.00737
17/03/19,8:40:11,24.37,7.52,-67.2,-32,522,516,1916,261,0.25,0,14.618,84.9,7.05,8.4,,, ,,2290,869.6,105.52,,,,25.2897,83.00749
17/03/19,8:40:21,24.38,7.54,-68.2,-32.5,522,516,1916,261,0.25,0,14.617,86.3,7.16,9.8,,, ,,2229.6,867.2,102.28,,,,25.28961,83.00758
17/03/19,8:40:31,24.38,7.56,-69.2,-32.8,522,516,1916,261,0.25,0,14.618,87.5,7.26,7.9,,, ,,2371.2,861.2,91.88,,,,25.28946,83.00764
17/03/19,8:40:41,24.38,7.57,-69.9,-32.9,522,516,1916,261,0.25,0,14.618,88.8,7.37,7.8,,, ,,2332.8,844,97.64,,,,25.2893,83.00768
17/03/19,8:40:51,24.38,7.6,-71.1,-33.4,522,516,1916,261,0.25,0,14.618,89.5,7.43,8,,, ,,2479.6,856,97.88,,,,25.28916,83.00773
17/03/19,8:41:01,24.38,7.62,-71.8,-33.5,522,516,1916,261,0.25,0,14.618,90.2,7.49,7.9,,, ,,2181.2,859.2,96.84,,,,25.28904,83.00778
17/03/19,8:41:11,24.38,7.63,-72.5,-33.7,522,516,1916,261,0.25,0,14.62,90.8,7.54,8,,, ,,2306.4,869.2,100.64,,,,25.28895,83.00781
17/03/19,8:41:21,24.38,7.64,-73.2,-34,522,516,1916,261,0.25,0,14.621,91.2,7.57,7.8,,, ,,2053.6,876,95.08,,,,25.28895,83.00781
17/03/19,8:41:31,24.38,7.66,-74.1,-34.2,522,516,1916,261,0.25,0,14.621,91.6,7.61,7.9,,, ,,1812.4,932,116.68,,,,25.2885,83.00792
17/03/19,8:41:41,24.37,7.68,-74.8,-34.4,522,516,1916,261,0.25,0,14.62,92.1,7.64,7.8,,, ,,2258.4,809.6,79.6,,,,25.28834,83.00798
17/03/19,8:41:51,24.37,7.69,-75.4,-34.5,522,516,1916,261,0.25,0,14.621,92.4,7.68,7.8,,, ,,2196.4,755.2,71.56,,,,25.28819,83.00802
17/03/19,8:42:01,24.37,7.7,-76.1,-34.7,522,516,1916,261,0.25,0,14.621,92.6,7.69,8,,, ,,1953.6,769.2,76.04,,,,25.28802,83.00804
17/03/19,8:42:11,24.38,7.72,-76.7,-34.9,522,516,1916,261,0.25,0,14.62,93.2,7.74,7.7,,, ,,2039.2,737.2,71.76,,,,25.28785,83.00808
17/03/19,8:42:21,24.37,7.73,-77.3,-35,522,516,1916,261,0.25,0,14.621,93.5,7.76,8,,, ,,2123.6,750.4,70.28,,,,25.2877,83.00811
