Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a (mg per m3),CDOM (ppb),Tryptophan (ppb),GPS Lat.,GPS Long.
14/11/18,14:09:15,21.95,6.81,-14.3,-98.2,1182,1114,846,591,0.59,0,14.311,21.3,1.81,64.2,,,,,,,,,,,28.66472,77.23882
14/11/18,14:09:25,21.93,6.84,-15.9,-99.1,1178,1109,849,589,0.59,0,14.311,21,1.78,63.3,,,,,,,,,,,28.66472,77.23885
14/11/18,14:09:35,21.92,6.87,-18,-99.4,1173,1104,853,586,0.58,0,14.312,20,1.69,65.3,,,,,,,,,,,28.6647,77.23888
14/11/18,14:09:45,21.88,6.87,-18,-98.3,1169,1100,855,585,0.58,0,14.31,18.9,1.61,67.1,,,,,,,,,,,28.66469,77.23891
14/11/18,14:09:55,21.9,6.9,-19.4,-98.9,1170,1101,855,585,0.58,0,14.313,18,1.53,64.5,,,,,,,,,,,28.66468,77.23893
14/11/18,14:10:05,21.89,6.92,-21,-99.8,1169,1100,855,585,0.58,0,14.313,17.2,1.46,63.6,,,,,,,,,,,28.66466,77.23896
14/11/18,14:10:15,21.89,6.93,-21.4,-99.6,1170,1101,855,585,0.58,0,14.311,16.4,1.4,65.9,,,,,,,,,,,28.66465,77.23898
14/11/18,14:10:25,21.89,6.95,-22.2,-99.9,1159,1090,863,579,0.58,0,14.312,15.7,1.34,62,,,,,,,,,,,28.66464,77.23898
14/11/18,14:10:35,21.89,6.98,-23.9,-100.6,1155,1087,866,577,0.57,0,14.31,15.1,1.28,60.3,,,,,,,,,,,28.66463,77.239
14/11/18,14:10:45,21.89,6.99,-24.2,-100.3,1163,1094,860,581,0.58,0,14.312,14.4,1.22,61.8,,,,,,,,,,,28.66463,77.23902
14/11/18,14:10:55,21.9,7.01,-25.4,-101,1141,1073,876,570,0.57,0,14.312,13.8,1.17,59.8,,,,,,,,,,,28.66461,77.23904
14/11/18,14:11:05,21.81,7.03,-26.3,-100.9,1135,1067,881,568,0.56,0,14.31,13.2,1.13,59.1,,,,,,,,,,,28.66461,77.23905
14/11/18,14:11:15,21.86,7.03,-26.4,-100.4,1148,1080,871,574,0.57,0,14.31,12.8,1.09,60.8,,,,,,,,,,,28.6646,77.23908
14/11/18,14:11:25,21.86,7.05,-27.5,-100.9,1149,1080,870,574,0.57,0,14.309,12.3,1.05,61.2,,,,,,,,,,,28.66459,77.2391
14/11/18,14:11:35,21.86,7.06,-27.8,-101,1153,1085,867,577,0.57,0,14.311,12,1.02,61.9,,,,,,,,,,,28.66458,77.23915
14/11/18,14:11:45,21.84,7.07,-28.5,-101.3,1153,1084,867,577,0.57,0,14.312,11.4,0.97,62.4,,,,,,,,,,,28.66455,77.23918
14/11/18,14:11:55,21.89,7.08,-28.9,-101.7,1167,1098,857,583,0.58,0,14.315,11,0.94,60.1,,,,,,,,,,,28.66454,77.23919
14/11/18,14:12:05,21.88,7.1,-30,-102.6,1144,1077,874,572,0.57,0,14.314,10.9,0.93,58.3,,,,,,,,,,,28.66453,77.23922
14/11/18,14:12:15,21.87,7.08,-28.8,-101.3,1150,1082,870,575,0.57,0,14.314,10.9,0.93,63.4,,,,,,,,,,,28.66453,77.23922
14/11/18,14:12:25,21.68,7.09,-29.2,-100.5,1107,1037,903,553,0.55,0,14.314,10.9,0.93,76.5,,,,,,,,,,,28.66453,77.23922
14/11/18,14:12:35,21.64,7.1,-29.6,-100,1079,1010,927,539,0.54,0,14.314,10.9,0.93,76.7,,,,,,,,,,,28.66453,77.23922
14/11/18,14:12:45,21.59,7.1,-30,-99.3,1037,970,964,518,0.51,0,14.314,10.9,0.93,65.8,,,,,,,,,,,28.66453,77.23922
14/11/18,14:12:55,21.53,7.12,-30.7,-98.6,1018,951,982,509,0.5,0,14.313,10.9,0.93,56.6,,,,,,,,,,,28.66491,77.23918
14/11/18,14:13:05,21.51,7.13,-31.1,-97.7,992,926,1008,496,0.49,0,14.314,10.9,0.93,57.2,,,,,,,,,,,28.66505,77.23908
14/11/18,14:13:15,21.5,7.14,-31.7,-96.7,967,902,1034,483,0.48,0,14.314,10.9,0.93,52.7,,,,,,,,,,,28.66518,77.23902
14/11/18,14:13:25,21.49,7.15,-32.3,-95.8,962,898,1040,481,0.48,0,14.314,10.9,0.93,57.5,,,,,,,,,,,28.66529,77.23889
14/11/18,14:13:35,21.5,7.16,-32.7,-94.6,952,889,1050,476,0.47,0,14.315,10.9,0.93,56.1,,,,,,,,,,,28.66542,77.23877
14/11/18,14:13:45,21.49,7.17,-33.1,-93.4,940,878,1064,470,0.46,0,14.315,11.2,0.96,62.7,,,,,,,,,,,28.66557,77.23869
14/11/18,14:13:55,21.49,7.18,-33.6,-92.1,925,863,1081,462,0.46,0,14.312,12.4,1.06,62.9,,,,,,,,,,,28.66571,77.2386
14/11/18,14:14:05,21.49,7.18,-33.9,-90.7,909,849,1100,455,0.45,0,14.314,14,1.2,66.4,,,,,,,,,,,28.66585,77.23848
14/11/18,14:14:15,21.49,7.19,-34.5,-89.4,905,845,1105,452,0.45,0,14.314,15.4,1.32,70.2,,,,,,,,,,,28.66595,77.23836
14/11/18,14:14:25,21.48,7.2,-34.9,-88,911,850,1098,456,0.45,0,14.315,15.4,1.32,76.9,,,,,,,,,,,28.66605,77.23819
14/11/18,14:14:35,21.48,7.21,-35.2,-86.7,916,855,1092,458,0.45,0,14.317,15.5,1.33,74.4,,,,,,,,,,,28.66614,77.23802
14/11/18,14:14:45,21.48,7.22,-35.7,-85.7,942,879,1062,471,0.46,0,14.316,14.4,1.23,39.7,,,,,,,,,,,28.66624,77.23787
14/11/18,14:14:55,21.51,7.22,-36,-85.1,953,890,1049,477,0.47,0,14.315,13.3,1.14,76.3,,,,,,,,,,,28.66634,77.23772
14/11/18,14:15:05,21.53,7.23,-36.2,-84.6,993,927,1007,496,0.49,0,14.316,12,1.03,74.8,,,,,,,,,,,28.66642,77.23758
14/11/18,14:15:15,21.54,7.24,-36.8,-84.5,1001,935,999,500,0.49,0,14.317,11.3,0.97,62.4,,,,,,,,,,,28.66652,77.2374
14/11/18,14:15:25,21.53,7.24,-36.9,-84,985,920,1015,492,0.49,0,14.317,12.6,1.08,55.8,,,,,,,,,,,28.66659,77.23723
14/11/18,14:15:35,21.55,7.25,-37.2,-83.8,1005,939,995,502,0.5,0,14.317,11.5,0.99,53.3,,,,,,,,,,,28.66666,77.23709
14/11/18,14:15:45,21.58,7.25,-37.5,-83.8,1047,979,955,524,0.52,0,14.317,10.9,0.93,53.2,,,,,,,,,,,28.66674,77.23694
14/11/18,14:15:55,21.61,7.26,-37.6,-84.5,1102,1031,907,551,0.55,0,14.315,10.9,0.93,65.1,,,,,,,,,,,28.66679,77.23685
14/11/18,14:16:05,21.69,7.27,-38.1,-86,1098,1029,911,549,0.55,0,14.318,10.9,0.93,58,,,,,,,,,,,28.66679,77.23685
14/11/18,14:16:15,21.62,7.27,-38.4,-86.1,1062,994,942,531,0.53,0,14.318,10.9,0.93,61,,,,,,,,,,,28.66704,77.23661
14/11/18,14:16:25,21.52,7.28,-38.9,-85.6,962,898,1040,481,0.48,0,14.319,11.6,0.99,59.4,,,,,,,,,,,28.66719,77.23661
14/11/18,14:16:35,21.49,7.29,-39.3,-84.6,955,891,1047,477,0.47,0,14.32,13.6,1.17,65.1,,,,,,,,,,,28.6674,77.23659
14/11/18,14:16:45,21.49,7.3,-39.7,-83.7,924,862,1082,462,0.46,0,14.322,15.4,1.32,63.6,,,,,,,,,,,28.66767,77.23656
14/11/18,14:16:55,21.5,7.3,-39.8,-82.5,966,902,1035,483,0.48,0,14.322,16,1.37,66.3,,,,,,,,,,,28.6679,77.23654
14/11/18,14:17:05,21.48,7.31,-40.3,-81.5,916,855,1092,458,0.45,0,14.319,17.7,1.52,74.3,,,,,,,,,,,28.66807,77.23652
14/11/18,14:17:15,21.48,7.32,-40.9,-80.3,833,777,1200,417,0.41,0,14.318,23.7,2.04,67.7,,,,,,,,,,,28.66823,77.23651
14/11/18,14:17:25,21.48,7.32,-40.8,-78.4,835,779,1198,417,0.41,0,14.319,27.8,2.38,77.5,,,,,,,,,,,28.66843,77.23651
14/11/18,14:17:35,21.48,7.33,-41.3,-76.9,805,751,1242,402,0.39,0,14.32,28.6,2.45,49.8,,,,,,,,,,,28.6686,77.23644
14/11/18,14:17:45,21.48,7.34,-41.7,-74.9,793,740,1261,397,0.39,0,14.321,31.3,2.69,74.6,,,,,,,,,,,28.66876,77.23635
14/11/18,14:17:55,21.48,7.34,-41.9,-73.2,798,744,1253,399,0.39,0,14.32,33,2.83,74.2,,,,,,,,,,,28.66891,77.23624
14/11/18,14:18:05,21.51,7.35,-42.4,-71.9,779,727,1284,390,0.38,0,14.322,34,2.92,64.3,,,,,,,,,,,28.66907,77.23613
14/11/18,14:18:15,21.49,7.36,-42.6,-70.3,785,733,1274,393,0.38,0,14.324,34.9,2.99,64.1,,,,,,,,,,,28.66921,77.236
14/11/18,14:18:25,21.49,7.36,-42.9,-68.7,795,742,1258,397,0.39,0,14.323,35.6,3.05,57.1,,,,,,,,,,,28.66935,77.23586
14/11/18,14:18:35,21.49,7.37,-43.3,-67.5,784,732,1276,392,0.38,0,14.323,36.1,3.1,57.8,,,,,,,,,,,28.66951,77.23576
14/11/18,14:18:45,21.47,7.38,-43.6,-66.1,797,743,1255,398,0.39,0,14.325,36.8,3.16,62.3,,,,,,,,,,,28.66968,77.23569
14/11/18,14:18:55,21.47,7.38,-44,-65.1,799,746,1252,400,0.39,0,14.325,36.9,3.16,60.3,,,,,,,,,,,28.66983,77.23565
14/11/18,14:19:05,21.47,7.39,-44.2,-63.9,808,753,1238,404,0.4,0,14.325,37.7,3.23,72.9,,,,,,,,,,,28.67001,77.23563
14/11/18,14:19:15,21.46,7.39,-44.5,-62.8,802,749,1247,401,0.39,0,14.323,37.6,3.23,66.7,,,,,,,,,,,28.67009,77.23562
14/11/18,14:19:25,21.44,7.4,-44.8,-61.8,841,784,1189,420,0.41,0,14.323,35.5,3.05,73.7,,,,,,,,,,,28.67009,77.23562
14/11/18,14:19:35,21.44,7.41,-45.3,-61.3,833,777,1200,417,0.41,0,14.324,36.8,3.16,89.1,,,,,,,,,,,28.67038,77.23555
14/11/18,14:19:45,21.44,7.42,-46,-61.1,846,789,1182,423,0.42,0,14.325,35,3,63.3,,,,,,,,,,,28.67038,77.23555
14/11/18,14:19:55,21.44,7.42,-45.7,-59.7,882,823,1134,441,0.43,0,14.325,33.7,2.89,51.4,,,,,,,,,,,28.67072,77.23544
14/11/18,14:20:05,21.44,7.42,-45.8,-59.2,871,812,1148,436,0.43,0,14.326,34.1,2.93,97.4,,,,,,,,,,,28.67084,77.23539
14/11/18,14:20:15,21.48,7.42,-45.8,-58.6,971,907,1030,486,0.48,0,14.329,28,2.41,60.6,,,,,,,,,,,28.67099,77.23535
14/11/18,14:20:25,21.54,7.42,-45.9,-58.9,1032,964,969,516,0.51,0,14.329,21.9,1.88,66.7,,,,,,,,,,,28.67113,77.23535
14/11/18,14:20:35,21.57,7.42,-45.8,-59.5,1055,986,948,527,0.52,0,14.325,19.5,1.67,99.9,,,,,,,,,,,28.67126,77.23531
14/11/18,14:20:45,21.64,7.42,-45.5,-61.6,1103,1032,907,551,0.55,0,14.325,17.1,1.46,112,,,,,,,,,,,28.67141,77.23528
14/11/18,14:20:55,21.68,7.41,-45.5,-64.1,1133,1061,883,566,0.56,0,14.328,16,1.36,111,,,,,,,,,,,28.67154,77.23524
14/11/18,14:21:05,21.69,7.41,-45.5,-66.6,1151,1078,869,575,0.57,0,14.327,14.9,1.27,114,,,,,,,,,,,28.67167,77.23524
14/11/18,14:21:15,21.7,7.41,-45.5,-68.9,1161,1088,861,580,0.58,0,14.325,14,1.2,112,,,,,,,,,,,28.67184,77.23522
14/11/18,14:21:25,21.71,7.41,-45.3,-70.5,1160,1087,862,580,0.58,0,14.327,13.2,1.13,113,,,,,,,,,,,28.67202,77.23522
14/11/18,14:21:35,21.7,7.41,-45.4,-72.5,1151,1079,869,576,0.57,0,14.326,12.6,1.07,9.3,,,,,,,,,,,28.67217,77.23524
14/11/18,14:21:45,21.68,7.42,-45.7,-74.2,1134,1063,882,567,0.56,0,14.328,11.9,1.02,76,,,,,,,,,,,28.67232,77.23528
14/11/18,14:21:55,21.64,7.42,-45.7,-75.1,1106,1035,904,553,0.55,0,14.328,11.3,0.97,40.8,,,,,,,,,,,28.67247,77.23531
14/11/18,14:22:05,21.6,7.42,-45.9,-75.5,1063,995,941,532,0.53,0,14.328,10.9,0.93,33.1,,,,,,,,,,,28.67268,77.23531
14/11/18,14:22:15,21.52,7.43,-46.3,-74.8,990,925,1010,495,0.49,0,14.327,14.6,1.25,40,,,,,,,,,,,28.67284,77.23535
14/11/18,14:22:25,21.47,7.44,-46.6,-73.8,930,868,1075,465,0.46,0,14.328,19.5,1.67,83.4,,,,,,,,,,,28.67302,77.23535
14/11/18,14:22:35,21.44,7.44,-46.9,-72.4,895,835,1117,448,0.44,0,14.329,24.6,2.12,79.4,,,,,,,,,,,28.67309,77.23535
14/11/18,14:22:45,21.44,7.45,-47.2,-71.1,861,803,1161,431,0.42,0,14.329,28.8,2.47,87,,,,,,,,,,,28.67309,77.23535
14/11/18,14:22:55,21.43,7.46,-47.6,-69.7,839,782,1192,420,0.41,0,14.327,31.6,2.71,60.7,,,,,,,,,,,28.67309,77.23535
14/11/18,14:23:05,21.43,7.46,-47.8,-68.2,825,769,1212,412,0.41,0,14.329,34.3,2.94,70.8,,,,,,,,,,,28.67309,77.23535
14/11/18,14:23:15,21.43,7.47,-48.2,-66.7,807,752,1239,403,0.4,0,14.329,36.5,3.13,47.9,,,,,,,,,,,28.67309,77.23535
14/11/18,14:23:25,21.43,7.47,-48.4,-65.4,793,739,1261,396,0.39,0,14.332,38.7,3.32,71.2,,,,,,,,,,,28.67405,77.23539
14/11/18,14:23:35,21.44,7.48,-48.7,-64,778,726,1285,389,0.38,0,14.332,40.9,3.51,75.7,,,,,,,,,,,28.67426,77.23541
14/11/18,14:23:45,21.47,7.49,-49.1,-62.8,754,703,1326,377,0.37,0,14.331,43.2,3.71,68.6,,,,,,,,,,,28.67444,77.23539
14/11/18,14:23:55,21.49,7.49,-49.3,-61.3,743,694,1346,372,0.36,0,14.33,45.2,3.88,66.4,,,,,,,,,,,28.67462,77.23537
14/11/18,14:24:05,21.49,7.5,-49.6,-59.9,746,696,1340,373,0.36,0,14.333,46.4,3.98,64.9,,,,,,,,,,,28.67478,77.23531
14/11/18,14:24:15,21.51,7.5,-49.9,-58.8,738,689,1355,369,0.36,0,14.332,47.5,4.07,64.1,,,,,,,,,,,28.67496,77.23528
14/11/18,14:24:25,21.52,7.51,-50,-57.5,734,686,1362,367,0.36,0,14.333,48.5,4.16,69.7,,,,,,,,,,,28.67511,77.23524
14/11/18,14:24:35,21.54,7.51,-50.2,-56.4,732,684,1366,366,0.36,0,14.333,49.3,4.23,67.4,,,,,,,,,,,28.6753,77.23516
14/11/18,14:24:45,21.54,7.51,-50.4,-55.1,731,683,1368,366,0.36,0,14.331,50.1,4.3,64.6,,,,,,,,,,,28.67546,77.23507
14/11/18,14:24:55,21.51,7.52,-50.7,-54.1,734,686,1362,367,0.36,0,14.331,50.6,4.34,69.6,,,,,,,,,,,28.67561,77.235
14/11/18,14:25:05,21.51,7.52,-51,-53.2,734,685,1362,367,0.36,0,14.331,51.2,4.39,73.3,,,,,,,,,,,28.67574,77.23492
14/11/18,14:25:15,21.49,7.53,-51.2,-52.2,735,686,1361,368,0.36,0,14.332,51.7,4.44,72.7,,,,,,,,,,,28.6759,77.23487
14/11/18,14:25:25,21.52,7.53,-51.4,-51.2,728,680,1374,364,0.36,0,14.333,52.5,4.5,71.7,,,,,,,,,,,28.6761,77.23482
14/11/18,14:25:35,21.52,7.54,-51.8,-50.5,727,679,1376,364,0.36,0,14.334,52.9,4.54,66,,,,,,,,,,,28.67625,77.23475
14/11/18,14:25:45,21.52,7.55,-52,-49.7,726,678,1377,363,0.35,0,14.333,53.5,4.59,64.4,,,,,,,,,,,28.6764,77.23466
14/11/18,14:25:55,21.51,7.54,-51.8,-48.5,728,680,1374,364,0.36,0,14.332,53.9,4.63,72.2,,,,,,,,,,,28.67653,77.23458
14/11/18,14:26:05,21.49,7.54,-51.9,-47.6,731,682,1368,365,0.36,0,14.333,54.1,4.65,74,,,,,,,,,,,28.67665,77.23451
14/11/18,14:26:15,21.49,7.55,-52.1,-46.8,736,687,1359,368,0.36,0,14.333,54.4,4.67,70.3,,,,,,,,,,,28.67681,77.2344
14/11/18,14:26:25,21.47,7.55,-52.3,-46,742,693,1348,371,0.36,0,14.332,54.4,4.67,82.8,,,,,,,,,,,28.67681,77.2344
14/11/18,14:26:35,21.47,7.55,-52.5,-45.4,754,703,1326,377,0.37,0,14.333,53.9,4.63,81,,,,,,,,,,,28.67681,77.2344
14/11/18,14:26:45,21.45,7.56,-52.6,-44.5,765,714,1307,383,0.37,0,14.333,53.2,4.57,73.3,,,,,,,,,,,28.67681,77.2344
14/11/18,14:26:55,21.44,7.56,-52.8,-44,776,723,1289,388,0.38,0,14.333,52.8,4.54,79.7,,,,,,,,,,,28.67681,77.2344
14/11/18,14:27:05,21.43,7.57,-53.1,-43.6,794,740,1259,397,0.39,0,14.332,51.8,4.45,64.1,,,,,,,,,,,28.67749,77.2339
14/11/18,14:27:15,21.43,7.57,-53,-43,816,760,1225,408,0.4,0,14.332,50.2,4.32,100,,,,,,,,,,,28.67761,77.2338
14/11/18,14:27:25,21.44,7.57,-53,-42.6,831,774,1203,415,0.41,0,14.332,48.9,4.21,109,,,,,,,,,,,28.67771,77.23371
14/11/18,14:27:35,21.44,7.56,-53,-42.2,843,786,1186,422,0.41,0,14.332,47.8,4.11,116,,,,,,,,,,,28.67785,77.23358
14/11/18,14:27:45,21.43,7.58,-53.5,-42.4,849,791,1178,424,0.42,0,14.332,47,4.04,114,,,,,,,,,,,28.6779,77.23352
14/11/18,14:27:55,21.43,7.58,-53.7,-42.3,852,795,1174,426,0.42,0,14.335,46.4,3.99,113,,,,,,,,,,,28.67795,77.23346
14/11/18,14:28:05,21.43,7.57,-53.3,-41.6,855,797,1170,427,0.42,0,14.334,46.1,3.96,111,,,,,,,,,,,28.67802,77.2334
14/11/18,14:28:15,21.43,7.57,-53.2,-41.3,861,803,1161,430,0.42,0,14.334,45.5,3.91,113,,,,,,,,,,,28.67812,77.23331
14/11/18,14:28:25,21.43,7.57,-53.2,-40.9,869,810,1151,435,0.43,0,14.335,44.7,3.84,113,,,,,,,,,,,28.6782,77.2332
14/11/18,14:28:35,21.43,7.57,-53.1,-40.7,873,814,1145,437,0.43,0,14.335,44.1,3.79,116,,,,,,,,,,,28.6783,77.2331
14/11/18,14:28:45,21.43,7.57,-53.4,-40.7,877,817,1140,438,0.43,0,14.336,43.7,3.76,117,,,,,,,,,,,28.67841,77.23302
14/11/18,14:28:55,21.42,7.57,-53.3,-40.4,881,821,1135,440,0.43,0,14.337,43.2,3.71,110,,,,,,,,,,,28.67852,77.23291
14/11/18,14:29:05,21.42,7.57,-53.4,-40.3,889,829,1125,445,0.44,0,14.338,42.3,3.64,112,,,,,,,,,,,28.67862,77.2328
14/11/18,14:29:15,21.42,7.57,-53.2,-40,904,842,1106,452,0.45,0,14.337,41.6,3.58,109,,,,,,,,,,,28.67871,77.23268
14/11/18,14:29:25,21.42,7.57,-53.5,-40.1,927,864,1079,464,0.46,0,14.335,39.9,3.43,111,,,,,,,,,,,28.6788,77.23262
14/11/18,14:29:35,21.43,7.57,-53.2,-39.9,957,892,1045,478,0.47,0,14.337,37.3,3.21,119,,,,,,,,,,,28.6788,77.23262
14/11/18,14:29:45,21.46,7.57,-53,-40,995,928,1005,497,0.49,0,14.337,34.4,2.95,137,,,,,,,,,,,28.6788,77.23262
14/11/18,14:29:55,21.49,7.57,-53.5,-41.1,1026,958,975,513,0.51,0,14.337,31.3,2.68,131,,,,,,,,,,,28.6788,77.23262
14/11/18,14:30:05,21.53,7.56,-52.6,-41,1069,998,935,534,0.53,0,14.338,27.4,2.35,136,,,,,,,,,,,28.67906,77.23218
14/11/18,14:30:15,21.58,7.55,-52.3,-41.8,1117,1044,895,558,0.55,0,14.339,23.5,2.01,130,,,,,,,,,,,28.67916,77.23204
14/11/18,14:30:25,21.64,7.54,-51.9,-43.6,1157,1083,864,579,0.58,0,14.338,20.3,1.74,139,,,,,,,,,,,28.67926,77.2319
14/11/18,14:30:35,21.68,7.54,-51.5,-47,1199,1124,834,600,0.6,0,14.341,18.9,1.61,144,,,,,,,,,,,28.67936,77.2318
14/11/18,14:30:45,21.73,7.53,-51.2,-51.6,1230,1153,813,615,0.61,0,14.339,17.6,1.5,133,,,,,,,,,,,28.6795,77.23169
14/11/18,14:30:55,21.76,7.52,-51,-55.9,1251,1174,799,625,0.62,0,14.341,16.5,1.41,126,,,,,,,,,,,28.67963,77.23155
14/11/18,14:31:05,21.77,7.52,-50.7,-59.4,1260,1183,794,630,0.63,0,14.342,15.6,1.33,132,,,,,,,,,,,28.67975,77.23147
14/11/18,14:31:15,21.78,7.52,-50.6,-62.9,1263,1186,792,631,0.63,0,14.341,14.8,1.26,132,,,,,,,,,,,28.67991,77.23138
14/11/18,14:31:25,21.77,7.52,-50.6,-66.2,1263,1186,792,631,0.63,0,14.339,13.9,1.19,135,,,,,,,,,,,28.68001,77.23133
14/11/18,14:31:35,21.77,7.52,-50.6,-69.3,1262,1185,792,631,0.63,0,14.337,13.2,1.13,114,,,,,,,,,,,28.6801,77.23128
14/11/18,14:31:45,21.76,7.51,-50.3,-71.7,1260,1182,794,630,0.63,0,14.337,12.5,1.07,126,,,,,,,,,,,28.6802,77.23122
14/11/18,14:31:55,21.76,7.51,-50.2,-73.7,1260,1183,794,630,0.63,0,14.34,12,1.02,118,,,,,,,,,,,28.68033,77.2312
14/11/18,14:32:05,21.76,7.51,-50.1,-75.8,1259,1181,794,629,0.63,0,14.34,11.4,0.97,120,,,,,,,,,,,28.68047,77.23119
14/11/18,14:32:15,21.75,7.51,-50.1,-77.9,1259,1181,794,629,0.63,0,14.344,10.9,0.93,126,,,,,,,,,,,28.68061,77.23117
14/11/18,14:32:25,21.76,7.51,-50,-79.8,1258,1181,795,629,0.63,0,14.343,10.9,0.93,110,,,,,,,,,,,28.68069,77.23117
14/11/18,14:32:35,21.76,7.5,-50,-81.3,1258,1180,795,629,0.63,0,14.343,10.9,0.93,119,,,,,,,,,,,28.68069,77.23117
14/11/18,14:32:45,21.76,7.5,-49.9,-82.9,1258,1181,795,629,0.63,0,14.343,10.9,0.93,119,,,,,,,,,,,28.68069,77.23117
