Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
13/02/19,11:33:24,17.39,7.45,-60.9,-137.1,1118,957,894,559,0.56,0,14.46,0,0,90.7,,,,,,,,,,,28.66475,77.23875
13/02/19,11:33:34,17.41,7.45,-60.9,-137.1,1119,958,894,560,0.56,0,14.459,0,0,83.8,,,,,,,,,,,28.66475,77.23875
13/02/19,11:33:44,17.4,7.43,-59.8,-135.8,1119,957,894,559,0.56,0,14.463,0,0,96.3,,,,,,,,,,,28.66477,77.23872
13/02/19,11:33:54,17.36,7.39,-58,-134,1122,959,891,561,0.56,0,14.462,0,0,62,,,,,,,,,,,28.66484,77.23869
13/02/19,11:34:04,17.37,7.37,-57.3,-133.3,1121,959,892,561,0.56,0,14.462,0,0,96.3,,,,,,,,,,,28.66494,77.23864
13/02/19,11:34:14,17.34,7.36,-56.9,-132.8,1116,954,896,558,0.56,0,14.461,0,0,101,,,,,,,,,,,28.66503,77.23857
13/02/19,11:34:24,17.37,7.36,-56.6,-132.5,1105,945,905,553,0.55,0,14.461,0,0,82.6,,,,,,,,,,,28.66513,77.23853
13/02/19,11:34:34,17.26,7.38,-57.5,-133.3,1044,891,958,522,0.52,0,14.46,0,0,72.1,,,,,,,,,,,28.66515,77.23852
13/02/19,11:34:44,17.24,7.38,-57.7,-133.2,1007,859,993,504,0.5,0,14.462,0,0,64.6,,,,,,,,,,,28.66515,77.23852
13/02/19,11:34:54,17.23,7.38,-57.6,-132.8,995,848,1005,497,0.49,0,14.461,0,0,64.8,,,,,,,,,,,28.66515,77.23852
13/02/19,11:35:04,17.22,7.37,-57.4,-132.3,994,847,1006,497,0.49,0,14.459,0,0,70.9,,,,,,,,,,,28.6655,77.2383
13/02/19,11:35:14,17.24,7.38,-57.5,-131.8,988,842,1012,494,0.49,0,14.46,0,0,68.5,,,,,,,,,,,28.66554,77.23824
13/02/19,11:35:24,17.22,7.37,-57.3,-131.1,995,848,1005,497,0.49,0,14.46,0,0,66.9,,,,,,,,,,,28.66561,77.23818
13/02/19,11:35:34,17.24,7.37,-57.2,-130.8,1008,859,992,504,0.5,0,14.459,0,0,69.4,,,,,,,,,,,28.66567,77.2381
13/02/19,11:35:44,17.23,7.37,-56.9,-130.2,1022,871,978,511,0.51,0,14.458,0,0,71.1,,,,,,,,,,,28.66574,77.23802
13/02/19,11:35:54,17.26,7.37,-57.1,-130,1028,877,973,514,0.51,0,14.458,0,0,68.3,,,,,,,,,,,28.66581,77.23794
13/02/19,11:36:04,17.25,7.37,-57.1,-129.9,1015,866,985,508,0.5,0,14.458,0,0,68.4,,,,,,,,,,,28.66588,77.23787
13/02/19,11:36:14,17.24,7.37,-57.1,-129.5,1008,859,992,504,0.5,0,14.46,0,0,70.3,,,,,,,,,,,28.66596,77.23778
13/02/19,11:36:24,17.23,7.37,-57.3,-129.3,1000,852,1000,500,0.5,0,14.46,0,0,71.3,,,,,,,,,,,28.66604,77.23771
13/02/19,11:36:34,17.23,7.37,-57.3,-128.9,985,840,1015,493,0.49,0,14.46,0,0,67.5,,,,,,,,,,,28.66613,77.23764
13/02/19,11:36:44,17.21,7.37,-57.2,-128.4,999,852,1001,500,0.5,0,14.46,0,0,77.2,,,,,,,,,,,28.66618,77.23761
13/02/19,11:36:54,17.22,7.37,-57.3,-128.2,1000,852,1000,500,0.5,0,14.46,0,0,85,,,,,,,,,,,28.66622,77.23757
13/02/19,11:37:04,17.25,7.37,-57.2,-127.7,998,851,1002,499,0.5,0,14.461,0,0,66,,,,,,,,,,,28.66623,77.23752
13/02/19,11:37:14,17.22,7.37,-57.1,-127.2,1001,853,999,500,0.5,0,14.461,0,0,72.1,,,,,,,,,,,28.66626,77.23748
13/02/19,11:37:24,17.26,7.38,-57.5,-127.3,1006,858,994,503,0.5,0,14.461,0,0,70,,,,,,,,,,,28.66628,77.23747
13/02/19,11:37:34,17.26,7.38,-57.6,-127.1,1007,859,993,504,0.5,0,14.461,0,0,67,,,,,,,,,,,28.66632,77.23744
13/02/19,11:37:44,17.27,7.38,-57.7,-126.8,1008,860,992,504,0.5,0,14.463,0,0,65.7,,,,,,,,,,,28.66637,77.2374
13/02/19,11:37:54,17.27,7.38,-57.5,-126.3,1016,867,984,508,0.51,0,14.463,0,0,63.3,,,,,,,,,,,28.66639,77.23736
13/02/19,11:38:04,17.26,7.38,-57.6,-125.8,1012,864,988,506,0.5,0,14.462,0,0,62.6,,,,,,,,,,,28.66639,77.23736
13/02/19,11:38:14,17.25,7.38,-57.7,-125.5,1006,858,994,503,0.5,0,14.463,0,0,59.8,,,,,,,,,,,28.66647,77.23732
13/02/19,11:38:24,,,,,,,,,,,,,,,,,,,,,,,,,28.66652,77.23724
13/02/19,11:38:34,,,,,,,,,,,,,,,,,,,,,,,,,28.66654,77.2372
13/02/19,11:38:44,,,,,,,,,,,,,,,,,,,,,,,,,28.66658,77.23713
13/02/19,11:38:54,,,,,,,,,,,,,,,,,,,,,,,,,28.66661,77.23709
13/02/19,11:39:04,17.22,7.38,-57.7,-111.3,992,845,1008,496,0.49,0,14.463,33.3,0.65,94.3,,,,,,,,,,,28.66662,77.23704
13/02/19,11:39:14,17.21,7.36,-56.7,-110.7,1014,864,986,507,0.5,0,14.463,10.4,0.98,83.8,,,,,,,,,,,28.66666,77.23702
13/02/19,11:39:24,17.22,7.35,-56.2,-110.4,1031,878,970,515,0.51,0,14.464,1.6,0.15,79,,,,,,,,,,,28.6667,77.237
13/02/19,11:39:34,17.29,7.34,-55.9,-110.4,1041,888,961,520,0.52,0,14.464,0,0,72.1,,,,,,,,,,,28.66674,77.23698
13/02/19,11:39:44,17.29,7.35,-56.2,-110.8,1027,876,974,513,0.51,0,14.466,0.4,0.04,75.4,,,,,,,,,,,28.66678,77.23696
13/02/19,11:39:54,17.26,7.36,-56.6,-111.3,1021,871,979,510,0.51,0,14.464,0,0,70.7,,,,,,,,,,,28.66682,77.23696
13/02/19,11:40:04,17.22,7.37,-57.1,-111.7,1024,872,977,512,0.51,0,14.465,0,0,84.4,,,,,,,,,,,28.66686,77.23692
13/02/19,11:40:14,17.23,7.37,-57.3,-111.9,1001,854,999,501,0.5,0,14.462,0,0,72,,,,,,,,,,,28.66691,77.2369
13/02/19,11:40:24,17.23,7.35,-56.3,-110.9,997,850,1003,498,0.5,0,14.464,0,0,69,,,,,,,,,,,28.66696,77.2369
13/02/19,11:40:34,17.22,7.36,-56.6,-111,989,842,1011,494,0.49,0,14.467,0,0,69.4,,,,,,,,,,,28.667,77.2369
13/02/19,11:40:44,17.24,7.36,-56.7,-110.9,976,832,1025,488,0.48,0,14.467,0,0,60.4,,,,,,,,,,,28.66704,77.2369
13/02/19,11:40:54,17.23,7.36,-56.7,-110.6,988,842,1012,494,0.49,0,14.467,0,0,62.8,,,,,,,,,,,28.66707,77.23688
13/02/19,11:41:04,17.25,7.37,-57,-110.8,990,844,1010,495,0.49,0,14.467,0,0,56.7,,,,,,,,,,,28.66711,77.23686
13/02/19,11:41:14,17.23,7.37,-57.2,-110.7,971,828,1030,486,0.48,0,14.466,0,0,65.8,,,,,,,,,,,28.66715,77.23685
13/02/19,11:41:24,17.26,7.37,-57.4,-110.7,953,813,1049,477,0.47,0,14.466,0.6,0.06,55.1,,,,,,,,,,,28.66715,77.23685
13/02/19,11:41:34,17.23,7.37,-57.2,-110,978,834,1022,489,0.49,0,14.467,0.4,0.04,62.5,,,,,,,,,,,28.66722,77.23682
13/02/19,11:41:44,17.22,7.37,-57.2,-109.7,984,838,1016,492,0.49,0,14.467,0,0,71.5,,,,,,,,,,,28.66724,77.2368
13/02/19,11:41:54,17.26,7.37,-57.1,-109.5,995,849,1005,498,0.49,0,14.466,0,0,63.5,,,,,,,,,,,28.66727,77.23678
13/02/19,11:42:04,17.26,7.37,-57.3,-109.4,988,842,1012,494,0.49,0,14.468,0,0,60.8,,,,,,,,,,,28.6673,77.23677
13/02/19,11:42:14,17.27,7.37,-57.4,-109.3,983,839,1017,492,0.49,0,14.47,0,0,61.2,,,,,,,,,,,28.66733,77.23675
13/02/19,11:42:24,17.27,7.38,-57.8,-109.4,959,818,1043,480,0.48,0,14.47,1.1,0.11,56.2,,,,,,,,,,,28.66735,77.23674
13/02/19,11:42:34,17.27,7.38,-57.8,-109.2,940,802,1064,470,0.47,0,14.471,2.3,0.22,51.3,,,,,,,,,,,28.66739,77.23672
13/02/19,11:42:44,17.27,7.38,-57.6,-108.4,970,828,1031,485,0.48,0,14.47,2.2,0.2,55.8,,,,,,,,,,,28.66743,77.23669
13/02/19,11:42:54,17.28,7.38,-57.6,-108.1,983,838,1017,491,0.49,0,14.47,1,0.1,57.7,,,,,,,,,,,28.66746,77.23667
13/02/19,11:43:04,17.26,7.38,-57.8,-108,987,842,1013,494,0.49,0,14.469,0.6,0.06,55,,,,,,,,,,,28.66747,77.23664
13/02/19,11:43:14,17.29,7.39,-57.9,-107.9,988,843,1012,494,0.49,0,14.469,0.6,0.06,54.4,,,,,,,,,,,28.6675,77.23664
13/02/19,11:43:24,17.27,7.39,-57.9,-107.7,992,847,1008,496,0.49,0,14.469,0.6,0.06,61.8,,,,,,,,,,,28.66751,77.23664
13/02/19,11:43:34,17.27,7.39,-57.9,-107.4,997,851,1003,499,0.5,0,14.469,0.1,0.01,58.3,,,,,,,,,,,28.66754,77.23664
13/02/19,11:43:44,17.27,7.38,-57.8,-107.2,982,838,1018,491,0.49,0,14.471,0.7,0.07,56.1,,,,,,,,,,,28.66756,77.23663
13/02/19,11:43:54,17.26,7.38,-57.5,-106.6,963,822,1038,482,0.48,0,14.47,1.7,0.16,60.6,,,,,,,,,,,28.66758,77.23659
13/02/19,11:44:04,17.23,7.37,-57.2,-106,963,821,1038,482,0.48,0,14.471,2.6,0.24,72.8,,,,,,,,,,,28.66759,77.23658
13/02/19,11:44:14,17.23,7.37,-57.2,-105.6,974,831,1027,487,0.48,0,14.472,2.2,0.21,65.8,,,,,,,,,,,28.66762,77.23658
13/02/19,11:44:24,17.22,7.37,-57.1,-105.2,982,837,1018,491,0.49,0,14.474,1.8,0.17,66.4,,,,,,,,,,,28.66764,77.23656
13/02/19,11:44:34,17.23,7.36,-56.9,-104.7,985,840,1015,493,0.49,0,14.474,1.6,0.15,72.2,,,,,,,,,,,28.66767,77.23654
13/02/19,11:44:44,17.25,7.36,-56.6,-104.2,980,836,1020,490,0.49,0,14.474,2.3,0.22,61.7,,,,,,,,,,,28.66767,77.23654
13/02/19,11:44:54,17.25,7.36,-56.5,-103.9,976,832,1025,488,0.48,0,14.473,2.1,0.2,60.7,,,,,,,,,,,28.66793,77.23648
13/02/19,11:45:04,17.22,7.37,-57.3,-104.2,915,780,1093,458,0.45,0,14.476,4.1,0.39,61.2,,,,,,,,,,,28.66799,77.23647
13/02/19,11:45:14,17.21,7.36,-56.5,-103.1,921,785,1086,460,0.46,0,14.477,6.9,0.65,63.1,,,,,,,,,,,28.6681,77.23642
13/02/19,11:45:24,17.23,7.35,-56.3,-102.5,963,821,1038,481,0.48,0,14.475,4.6,0.44,69.1,,,,,,,,,,,28.6682,77.23635
13/02/19,11:45:34,17.23,7.36,-56.7,-102.5,900,767,1111,450,0.45,0,14.475,7,0.66,51,,,,,,,,,,,28.6683,77.23628
13/02/19,11:45:44,17.23,7.35,-56,-101.3,981,836,1019,491,0.49,0,14.475,4.2,0.4,66.9,,,,,,,,,,,28.66841,77.23622
13/02/19,11:45:54,17.22,7.36,-56.5,-101.5,943,803,1060,471,0.47,0,14.475,4.1,0.39,61.4,,,,,,,,,,,28.66853,77.23615
13/02/19,11:46:04,17.23,7.37,-57,-101.6,873,744,1145,436,0.43,0,14.475,8.7,0.82,51,,,,,,,,,,,28.66866,77.23611
13/02/19,11:46:14,17.21,7.36,-56.7,-100.7,910,775,1099,455,0.45,0,14.473,7,0.66,65.9,,,,,,,,,,,28.66878,77.23611
13/02/19,11:46:24,17.23,7.37,-56.9,-100.6,848,723,1179,424,0.42,0,14.476,10.4,0.98,44.9,,,,,,,,,,,28.6689,77.23612
13/02/19,11:46:34,17.24,7.37,-56.9,-100.1,820,700,1220,410,0.4,0,14.475,12.2,1.16,46.1,,,,,,,,,,,28.66903,77.23612
13/02/19,11:46:44,17.24,7.37,-57.1,-99.5,821,700,1218,411,0.41,0,14.478,13.1,1.24,59.2,,,,,,,,,,,28.66912,77.23611
13/02/19,11:46:54,17.26,7.37,-57.1,-98.8,820,700,1220,410,0.4,0,14.476,13.5,1.28,50.9,,,,,,,,,,,28.66919,77.23605
13/02/19,11:47:04,17.26,7.37,-57,-97.9,817,697,1224,408,0.4,0,14.477,13.8,1.3,53.6,,,,,,,,,,,28.66928,77.23598
13/02/19,11:47:14,17.25,7.36,-56.8,-97,821,701,1218,411,0.41,0,14.476,14,1.32,56.7,,,,,,,,,,,28.66938,77.23594
13/02/19,11:47:24,17.26,7.37,-57,-96.5,821,700,1218,411,0.41,0,14.478,14,1.32,55,,,,,,,,,,,28.66949,77.23589
13/02/19,11:47:34,17.27,7.37,-57.1,-96,813,694,1230,407,0.4,0,14.476,14.3,1.35,56.9,,,,,,,,,,,28.66955,77.23589
13/02/19,11:47:44,17.27,7.37,-57,-95.2,811,692,1233,405,0.4,0,14.477,14.5,1.36,55.3,,,,,,,,,,,28.66968,77.23589
13/02/19,11:47:54,17.32,7.37,-57.4,-95.2,795,679,1258,398,0.39,0,14.476,15.1,1.42,51.6,,,,,,,,,,,28.6698,77.23596
13/02/19,11:48:04,17.34,7.38,-57.7,-94.8,795,679,1258,398,0.39,0,14.477,15.6,1.47,52.5,,,,,,,,,,,28.66983,77.23596
13/02/19,11:48:14,17.34,7.38,-57.7,-94.2,795,679,1258,397,0.39,0,14.477,15.8,1.48,56.1,,,,,,,,,,,28.6699,77.23592
13/02/19,11:48:24,17.33,7.38,-57.7,-93.5,798,682,1253,399,0.39,0,14.477,15.8,1.49,51.2,,,,,,,,,,,28.66996,77.23592
13/02/19,11:48:34,17.3,7.38,-57.6,-92.7,814,695,1229,407,0.4,0,14.478,15.6,1.48,51.6,,,,,,,,,,,28.67001,77.23589
13/02/19,11:48:44,17.32,7.39,-58,-92.5,812,693,1232,406,0.4,0,14.477,15.7,1.48,52.5,,,,,,,,,,,28.67004,77.23586
13/02/19,11:48:54,17.29,7.39,-57.9,-91.7,815,696,1227,408,0.4,0,14.478,15.4,1.45,56.7,,,,,,,,,,,28.67006,77.23585
13/02/19,11:49:04,17.27,7.4,-58.4,-91.5,824,703,1214,412,0.41,0,14.479,15.1,1.42,56.4,,,,,,,,,,,28.67012,77.23579
13/02/19,11:49:14,17.26,7.38,-57.8,-90.3,834,712,1199,417,0.41,0,14.48,14.8,1.39,54.7,,,,,,,,,,,28.6702,77.2357
13/02/19,11:49:24,17.23,7.37,-57.3,-89.1,862,735,1160,431,0.43,0,14.481,13.8,1.3,55,,,,,,,,,,,28.67029,77.23565
13/02/19,11:49:34,17.22,7.37,-57.1,-88.5,881,751,1135,440,0.44,0,14.479,12.7,1.2,82.5,,,,,,,,,,,28.67038,77.2356
13/02/19,11:49:44,17.21,7.36,-56.8,-87.8,913,778,1095,457,0.45,0,14.479,11.8,1.12,67.1,,,,,,,,,,,28.6705,77.23556
13/02/19,11:49:54,17.2,7.37,-57.2,-87.8,913,778,1095,457,0.45,0,14.479,10.6,1,68.8,,,,,,,,,,,28.67059,77.2355
13/02/19,11:50:04,17.22,7.36,-56.5,-86.8,964,822,1037,482,0.48,0,14.478,8.9,0.85,68.8,,,,,,,,,,,28.6707,77.23544
13/02/19,11:50:14,17.22,7.37,-56.9,-87,929,791,1076,464,0.46,0,14.481,9.2,0.87,72.2,,,,,,,,,,,28.67081,77.23544
